"text,intent"
"""What is my name?"",get_name"
"""Who am I?"",get_name"
"""Tell me my name"",get_name"
"""What's my username?"",get_name"
"""My name please"",get_name"
"""Can you tell me my name?"",get_name"
"""Show my profile picture"",get_profile_pic"
"""Display my photo"",get_profile_pic"
"""What's my profile image?"",get_profile_pic"
"""Let me see my picture"",get_profile_pic"
"""Show me my avatar"",get_profile_pic"
"""Profile pic please"",get_profile_pic"
"""How much is my income and savings?"",get_income_savings"
"""Tell me about my income and savings"",get_income_savings"
"""What's my monthly income and savings?"",get_income_savings"
"""Show my income and savings details"",get_income_savings"
"""My income and savings?"",get_income_savings"
"""What are my income and savings?"",get_income_savings"
"""What's my total income this month?"",get_total_income"
"""How much income did I earn this month?"",get_total_income"
"""Tell me my monthly income"",get_total_income"
"""Total income for this month"",get_total_income"
"""My income this month?"",get_total_income"
"""Show my total income"",get_total_income"
"""What are my income sources?"",get_income_sources"
"""Where does my income come from?"",get_income_sources"
"""Tell me about my income sources"",get_income_sources"
"""List my income sources"",get_income_sources"
"""Show me where my money comes from"",get_income_sources"
"""My income sources please"",get_income_sources"
"""How much did I spend on food?"",get_food_expense"
"""What's my food spending this month?"",get_food_expense"
"""Tell me my food expenses"",get_food_expense"
"""Food expenses for this month"",get_food_expense"
"""How much on food this month?"",get_food_expense"
"""Show my food spending"",get_food_expense"
"""How much did I spend this month?"",get_total_spent"
"""What's my total spending this month?"",get_total_spent"
"""Tell me my monthly expenses"",get_total_spent"
"""Total spent this month"",get_total_spent"
"""My spending this month?"",get_total_spent"
"""Show my total expenses"",get_total_spent"
"""What were my expenses last week?"",get_weekly_expenses"
"""Show my spending from last week"",get_weekly_expenses"
"""Tell me about my expenses last week"",get_weekly_expenses"
"""Last week's expenses"",get_weekly_expenses"
"""My spending last week?"",get_weekly_expenses"
"""List my expenses from last week"",get_weekly_expenses"
"""What are my unpaid bills?"",get_unpaid_bills"
"""Show my outstanding bills"",get_unpaid_bills"
"""Tell me about unpaid bills"",get_unpaid_bills"
"""List my unpaid bills"",get_unpaid_bills"
"""Which bills are unpaid?"",get_unpaid_bills"
"""My unpaid bills please"",get_unpaid_bills"
"""What are my upcoming bills?"",get_upcoming_bills"
"""Show my bills due soon"",get_upcoming_bills"
"""Tell me about my upcoming bills"",get_upcoming_bills"
"""List my future bills"",get_upcoming_bills"
"""Which bills are due?"",get_upcoming_bills"
"""My upcoming bills please"",get_upcoming_bills"
"""When is my electricity bill due?"",get_electricity_due"
"""Tell me about my electricity bill"",get_electricity_due"
"""Show my electricity bill due date"",get_electricity_due"
"""Electricity bill due?"",get_electricity_due"
"""My electricity bill due date"",get_electricity_due"
"""What's my electricity bill?"",get_electricity_due"
"""Show me my investments"",get_investments"
"""List my investments"",get_investments"
"""What are my investments?"",get_investments"
"""Tell me about my investments"",get_investments"
"""My investments please"",get_investments"
"""Show my investment details"",get_investments"
"""How much profit or loss did I make?"",get_profit_loss"
"""Tell me about my investment profits"",get_profit_loss"
"""Show my investment losses"",get_profit_loss"
"""My profit and loss?"",get_profit_loss"
"""Investment gains and losses"",get_profit_loss"
"""What's my profit or loss?"",get_profit_loss"
"""What are my expense categories?"",get_expense_categories"
"""Show my spending categories"",get_expense_categories"
"""Tell me about my expense types"",get_expense_categories"
"""List my expense categories"",get_expense_categories"
"""My spending categories?"",get_expense_categories"
"""Categories for my expenses"",get_expense_categories"
"""What are my total expenses this month?"",get_total_expenses"
"""How much did I spend in total?"",get_total_expenses"
"""Tell me my total monthly expenses"",get_total_expenses"
"""Total expenses for this month"",get_total_expenses"
"""My total spending this month?"",get_total_expenses"
"""Show my total monthly spending"",get_total_expenses"
"""I spent ₹500 on groceries"",add_expense"
"""Add ₹200 for food"",add_expense"
"""Record ₹1000 on transportation"",add_expense"
"""Spent ₹300 on utilities"",add_expense"
"""Add an expense of ₹150 for dining out"",add_expense"
"""Log ₹400 for entertainment"",add_expense"
"""Record an expense of ₹600 on rent"",add_expense"
"""Hello there"",unknown"
"""How's the weather?"",unknown"
"""What's up?"",unknown"
"""Tell me a joke"",unknown"
"""I need help"",unknown"
"""Random question"",unknown"
