text,intent
What is my name?,get_name
Who am I?,get_name
Tell me my name,get_name
What's my username?,get_name
My name please,get_name
Can you tell me my name?,get_name
What’s my full name?,get_name
Who’s this account for?,get_name
Please show my name,get_name
Tell me who I am,get_name
What name is on my profile?,get_name
My account name?,get_name
Can you say my name?,get_name
What do you call me?,get_name
Who’s logged in?,get_name
My identity please,get_name
What’s the name on this account?,get_name
Show me my name,get_name
Show my profile picture,get_profile_pic
Display my photo,get_profile_pic
What's my profile image?,get_profile_pic
Let me see my picture,get_profile_pic
Show me my avatar,get_profile_pic
Profile pic please,get_profile_pic
Can you show my profile photo?,get_profile_pic
Display my profile image,get_profile_pic
What’s my pic?,get_profile_pic
Show my user image,get_profile_pic
My profile picture?,get_profile_pic
Can I see my photo?,get_profile_pic
Show my pic please,get_profile_pic
What does my profile picture look like?,get_profile_pic
My avatar please,get_profile_pic
Display my user photo,get_profile_pic
Show me my profile pic,get_profile_pic
What’s my profile photo?,get_profile_pic
How much is my income and savings?,get_income_savings
Tell me about my income and savings,get_income_savings
What's my monthly income and savings?,get_income_savings
Show my income and savings details,get_income_savings
My income and savings?,get_income_savings
What are my income and savings?,get_income_savings
How much do I earn and save?,get_income_savings
Tell me my income and savings balance,get_income_savings
What’s my income and how much do I save?,get_income_savings
Show my monthly earnings and savings,get_income_savings
Income and savings info please,get_income_savings
Can you tell me about my earnings and savings?,get_income_savings
My monthly income and savings details,get_income_savings
What’s my income and savings status?,get_income_savings
Tell me about my money and savings,get_income_savings
How much money do I make and save?,get_income_savings
Show my income and savings summary,get_income_savings
My earnings and savings?,get_income_savings
What's my total income this month?,get_total_income
How much income did I earn this month?,get_total_income
Tell me my monthly income,get_total_income
Total income for this month,get_total_income
My income this month?,get_total_income
Show my total income,get_total_income
What’s my income for this month?,get_total_income
How much money did I make this month?,get_total_income
Tell me about my income this month,get_total_income
Total earnings this month,get_total_income
Can you show my monthly income?,get_total_income
My total income please,get_total_income
What did I earn this month?,get_total_income
Show my income summary for this month,get_total_income
How much was my income?,get_total_income
Monthly income details,get_total_income
What’s my total earnings?,get_total_income
Tell me my income amount,get_total_income
What are my income sources?,get_income_sources
Where does my income come from?,get_income_sources
Tell me about my income sources,get_income_sources
List my income sources,get_income_sources
Show me where my money comes from?,get_income_sources
My income sources please,get_income_sources
What are the sources of my income?,get_income_sources
Tell me where I get my money,get_income_sources
Show my income streams,get_income_sources
List where my income is from,get_income_sources
My money sources?,get_income_sources
Can you tell me my income sources?,get_income_sources
What’s funding my account?,get_income_sources
Show my earnings sources,get_income_sources
Tell me about my revenue sources,get_income_sources
Where’s my income coming from?,get_income_sources
List my income channels,get_income_sources
My income origins?,get_income_sources
How much did I spend on food?,get_food_expense
What's my food spending this month?,get_food_expense
Tell me my food expenses,get_food_expense
Food expenses for this month,get_food_expense
How much on food this month?,get_food_expense
Show my food spending,get_food_expense
How much did I spend on groceries?,get_food_expense
What’s my food budget this month?,get_food_expense
Tell me about my food costs,get_food_expense
Food spending details,get_food_expense
How much was spent on dining?,get_food_expense
Show my grocery expenses,get_food_expense
My food expenses please,get_food_expense
What did I spend on meals?,get_food_expense
Tell me my food spending this month,get_food_expense
How much for food and drinks?,get_food_expense
Show my dining expenses,get_food_expense
Food costs this month?,get_food_expense
How much did I spend this month?,get_total_spent
What's my total spending this month?,get_total_spent
Tell me my monthly expenses,get_total_spent
Total spent this month,get_total_spent
My spending this month?,get_total_spent
Show my total expenses,get_total_spent
How much was my spending this month?,get_total_spent
What’s my total expenditure?,get_total_spent
Tell me about my monthly spending,get_total_spent
Total expenses this month,get_total_spent
Can you show my spending summary?,get_total_spent
