text,intent
Record ₹800 for rent payment,add_expense
Tell me about last week’s expenses,get_weekly_expenses
What investment category is REITs?,investment_category_map
Update my name to Jane,profile_update_name
Where do my income come from?,get_income_sources
Show my expense class alternative,category_get_list
Suss out if my rent bill live pay,bill_check_status
Can Atomic number 53 edit my profile ’ s name?,profile_update_name
Department of energy Common soldier Equity enumeration as an investment category?,investment_category_check
Has my gas handbill be pay?,bill_check_status
Prepare a unexampled savings amount for my profile,profile_update_savings
Recite pine tree state a story,unknown
Discipline if Dividends be an income category,income_category_check
What ’ s my monthly income drift?,income_get_trend
Can you check my electric bill due date?,get_electricity_due
Show my user income,profile_get_income
Lean my bills referable soon,bill_get_upcoming
Show me all my investment types,investment_category_get_list
Show my expenses from concluding workweek,expense_get_by_date
Show my investment losses,get_profit_loss
Throne you create a Collectible investment family?,investment_category_add
Can you indicate my top profit investment?,investment_get_max_profit
Add a class for rest home repairs,category_add
Tell me my electricity bill referable day of the month,get_electricity_due
Lav you create a Collectible investment category?,investment_category_add
What are all my budgets?,budget_get_all
Can you demonstrate my exchange traded fund losses?,investment_get_loss
Fire you exhibit my profile picture?,profile_get_image
Secern maine my bonuses income,income_get_by_category
Appearance my investment funds overview,get_investments
What ’ reciprocal ohm my full investment amount?,investment_get_total
Severalize me the type of my spending,get_expense_categories
Sack you list every income category 1 can employ?,income_category_get_list
Tilt my income for this Monday,income_get_by_date
What ’ s my outgo trend this month?,expense_get_trend
Show me where my money come from?,get_income_sources
Tell maine all investiture category names,investment_category_get_list
What ’ s the family for healthcare?,category_map
Can you indicate my personal care budget result?,budget_check_remaining
Is my cable bill paid yet?,bill_check_status
Be Refunds an income category?,income_category_check
What ’ s financial support my account?,get_income_sources
What public figure is linked to my story?,profile_get_info
Show my food market expenses,expense_get_by_category
Show my paid broadside for May,bill_get_paid
Tell me astir three toed sloth,unknown
Appearance my full spending summary,get_total_expenses
Recite me my average utilities outlay,expense_get_average_by_category
Adhd an Annuities investiture category,investment_category_add
What investiture category be venture capital letter?,investment_category_map
What are my expense categories?,get_expense_categories
What ’ s my investment income tendency?,income_get_trend_by_category
Name my spending for net week please,get_weekly_expenses
What ’ s my cryptocurrency investment funds loss?,investment_get_loss
Tell maine about my monthly outgo,get_total_spent
Which class for cryptocurrency?,investment_category_map
Separate maine my average investment income,income_get_average_by_category
Show my investments from last week,investment_get_by_date
Can you display my profile biff?,profile_get_slug
Derriere you testify my spending this month?,expense_get_by_date
Show me my gain or exit,get_profit_loss
What ’ s my average income per month?,income_get_average
Separate me about my tax income sources,get_income_sources
